,0,1,2
0,"""Caused anxiety and panic attacks""",1,NEG
1,"""Amazing topical relief. I 100% recommend it.""",10,POS
2,"""Great miracle.""",10,POS
3,"""Absolute BEST """,10,POS
4,"""Pain in joints,,nausea,abd. Pain""",1,NEG
5,"""Good medicine""",10,POS
6,"""Suicidal thoughts""",3,NEG
7,"""Horrible pain. Was hospitalized. Terrible drug.""",1,NEG
8,"""Terrible akathisia.""",1,NEG
9,"""I loved it!!!!""",9,POS
10,"""Made my depression and anxiety worse.  Caused more instances of suicidal ideation.""",2,NEG
11,"""Severe constipation""",4,NEG
12,"""Great miracle.""",10,POS
13,"""Relax nicely, act better than cyclobenzaprine""",8,POS
14,"""Love it love it""",9,POS
15,"""Works great I love it.""",10,POS
16,"""Very good""",10,POS
17,"""Amazing results!""",10,POS
18,"""I loved it!!!!""",10,POS
19,"""good experience.""",10,POS
20,"""It helps""",10,POS
21,"""Effective and not irritating""",10,POS
22,"""Work good""",8,POS
23,"""very helpful""",7,POS
24,"""Weight gain""",9,POS
25,"""No relief.""",1,NEG
26,"""Severe allergic reaction.""",1,NEG
27,"""Great results.""",8,POS
28,"""Worse drug ever!! Was depressed and more sick :(""",1,NEG
29,"""Wonderful medication!!""",9,POS
30,"""Very good""",9,POS
31,"""hair loss massive hair loss""",1,NEG
32,"""Awesome stuff""",10,POS
33,"""Works Great""",10,POS
34,"""Horrible mood swings! :( Changing ASAP!""",2,NEG
35,"""Works great, strong stuff.""",10,POS
36,"""Great drug.""",10,POS
37,"""Was relieved""",9,POS
38,"""Lifesaver drug!!!""",10,POS
39,"""Great medication""",10,POS
40,"""Works great, really helps""",10,POS
41,"""Hallucinations, nausea, irritability and exhausted""",3,NEG
42,"""Definitely relieves my headache.""",10,POS
43,"""Great for rescue nebulizer.""",10,POS
44,"""Bad dizziness, bad nausea, sleepiness.""",1,NEG
45,"""Works effectively""",9,POS
46,"""Horrible drug. Avoid it""",1,NEG
47,"""Miracle drug""",10,POS
48,"""Works great""",10,POS
49,"""Worst side effects ever!!!!!!!""",1,NEG
50,"""Felt horrible, very depressed, lethargic, tired all the time.""",1,NEG
51,"""Hated it""",1,NEG
52,"""Works well. Popular brand.""",7,POS
53,"""Very good""",10,POS
54,"""Fatigue, weakness, bad bruising, bleeding, stomach pain, diarrhea, headache.""",1,NEG
55,"""Wonderful medication!!""",9,POS
56,"""The best ever!!!!""",10,POS
57,"""its awesome""",10,POS
58,"""Good Results""",9,POS
59,"""bad side effects""",1,NEG
60,"""Caused severe agitation &amp; anger""",2,NEG
61,"""Very good""",10,POS
62,"""Great
Effective
Unbelievable""",10,POS
63,"""Exceptionelly great""",10,POS
64,"""Well worth it.""",10,POS
65,"""Great help.""",10,POS
66,"""Worst drug to alter your mind and make you crazy. Severely depressed and suicidal""",1,NEG
67,"""Effective and not irritating""",10,POS
68,"""Not Good""",1,NEG
69,"""Horrible side effects.""",1,NEG
70,"""Good Results""",9,POS
71,"""Great drug.""",10,POS
72,"""Works effectively""",9,POS
73,"""Awful. Horrendous mood swings. Depression. Anxiety. Night sweats.""",2,NEG
74,"""Terrible hallucinations!""",1,NEG
75,"""Very good""",9,POS
76,"""Excellent """,10,POS
77,"""Caused suicidal depression""",1,NEG
78,"""Works Great""",10,POS
79,"""Works great, really helps""",10,POS
80,"""Excellent results""",10,POS
81,"""Flu kidney infectiion muscle aches""",4,NEG
82,"""Back pain, vomiting, fever, stomach pain""",1,NEG
83,"""Relaxed and calm""",10,POS
84,"""God send!""",10,POS
85,"""Worse drug ever!! Was depressed and more sick :(""",1,NEG
86,"""Great medication!""",9,POS
87,"""Miracle medicine!""",10,POS
88,"""Wonderfully highly recommended""",10,POS
89,"""Made me sick""",1,NEG
90,"""Caused suicidal thoughts.""",1,NEG
91,"""Worse pain and total lack of movement.""",1,NEG
92,"""Very effective""",10,POS
93,"""Not good""",1,NEG
94,"""Wonderful drug.""",10,POS
95,"""Good medicine.""",10,POS
96,"""Works great. """,10,POS
97,"""Love it!""",10,POS
98,"""Horrible mood swings! :( Changing ASAP!""",2,NEG
99,"""I hate this pill, extreme depression, breast pain, moody, cry at everything. Do not recommend.""",1,NEG
100,"""Helped with anxiety but made my depression worst""",3,NEG
101,"""Very good""",9,POS
102,"""pretty good.""",10,POS
